transaction_id,timestamp,price,department
uldhllbokr,853603,68,Groceries
pjmdxfsuty,868929,8,Groceries
jcihoegkiu,803026,93,MISC
pwemvcsjaf,826761,41,Computer
ndspaoypzw,864836,88,Music
rgqrmzmjec,872498,37,Movies
gulfvvgakm,800604,84,Computer
xcjohwzcfq,811239,62,Music
rtojxxxaqv,878837,15,Movies
umltmcjtjt,888693,81,Music
qwojgxmwnu,855534,25,Computer
uzdbzjiqyr,868048,85,Groceries
ewdesbgicr,872431,91,MISC
qmarvyfxpd,845205,33,Computer
ggrpuyraxb,879714,83,Books
wncbljqcga,863847,36,Books
ncexdqkyeu,808102,2,Music
qskktjephu,854161,46,MISC
rgoyvrnvni,808522,1,Groceries
ofipkcrnmn,899185,84,MISC
miqcsuuebv,838739,79,MISC
jlwxfosisg,889107,38,Computer
mqjagfgvxb,808325,82,Groceries
edxeitjnsi,841569,94,Books
bzzixfktmi,880465,22,Music
icwewjkzii,803358,56,Music
limbuzwhqm,860574,13,Books
vdqgtzozug,889488,93,Books
zhenbhjuub,899847,38,Computer
zubnrurxhv,845696,97,Books
hvzmnaddnf,881894,38,MISC
qltpthbccg,892686,62,Movies
ovcmpossap,841321,82,MISC
svzbsdyjpz,843230,20,Books
tsvswxzddm,884998,91,MISC
lvpwfbntlf,818673,79,Music
hyvsnbfbmr,831283,98,Groceries
gtzqwnlefe,893312,78,MISC
tejwkpocwt,856945,53,Groceries
fegscwjudz,863458,97,Books
aqjjttfmnj,813147,91,Music
poxwtvlpyn,804050,56,Computer
ggrtyyprmp,862683,80,Music
jrjcrovvdz,893290,92,MISC
njvyhswwwf,868283,85,Music
yplhokfwbk,893575,78,MISC
qqqimndgqz,804344,89,Groceries
cfbpmrzpph,844353,17,Books
reqyezsvki,851493,20,Music
ccieuzeczv,865727,21,Computer
qrvtlaamqe,840222,84,MISC
hepmalydkd,849265,15,Music
irrqttzsel,889344,90,Movies
ulqkcgqmfq,802625,22,Movies
tgxttdptwm,838907,29,Music
ztxwyqgoux,886824,21,Music
lgmaeeifpk,821087,96,Groceries
felfnqryha,808473,48,MISC
htjxurhlek,831436,3,Music
qclojvocio,875616,42,Computer
xnxwvmfpyt,883020,43,MISC
lrlsgvpbxs,865027,64,MISC
hxpymkkcug,864946,67,Books
nbuppxnxeg,858259,30,Computer
ykoikagsci,881075,23,Books
zfbbrltvns,816115,50,Computer
nbfzpnacwk,881416,19,Groceries
vwinsrkkjm,817306,92,Books
hfnoeurqip,887666,72,Computer
pdrkyifozy,870127,72,Computer
tjlzhhieuk,853908,13,Books
unsyfcdafx,815933,40,Movies
wkxkvkvenl,834942,9,Books
naihwpibuq,883966,81,Books
arnstxnlbb,819255,53,Groceries
wxtligdtxa,885287,52,Music
wcbhklqsjs,854477,72,MISC
ufsmpvspdi,892184,39,Books
fvxmgsqkin,864664,33,Movies
yxoyxvjfuo,898101,51,Movies
rkuomwpnlq,802483,74,Computer
gliufxyryd,811264,98,Movies
gddotvyrmy,876823,19,Movies
jfoygsrrvv,892271,60,Groceries
gatbciozbd,854168,20,Movies
gwuttfplbd,867737,7,Books
ljhqykkhbt,851175,56,Movies
irgoyjenxb,860871,17,Groceries
bbkxxganri,832959,30,Books
rsbkximvct,891370,16,Groceries
etrscrxrah,810580,50,Computer
ozmbxnxkar,812007,35,Movies
cptnucyypk,890986,27,Music
sibxfulpdw,820265,29,MISC
chqmavniup,899562,53,MISC
yzkbqouklr,888868,60,Computer
ueqcvjlkzb,840078,21,Computer
ikjmxwkxyi,848853,9,Computer
wwaaedeqpe,864332,18,Music
combrngcgt,861728,47,Computer
jiplemzgbt,825364,87,Movies
gnsnjiskxl,820250,63,MISC
bjqmpnmtfi,848819,64,MISC
khuabrrfsv,889956,47,Groceries
vpaulvprae,897947,3,MISC
geqggicazv,816114,85,Movies
cggjgcpeqt,883522,91,Movies
gqborpsgva,829544,33,MISC
cuhxvknpes,872239,41,Books
wnnzbobyae,823176,48,MISC
kukekephre,869846,54,Music
mffxvsmgil,899988,32,Movies
ybxpoeqyaj,847769,33,Groceries
qcbnirwopw,805000,81,MISC
uafogisebk,876717,7,Music
isgzkcdnyi,810232,69,Music
raykgvewsd,892273,10,Music
sxjgplffxo,869479,28,MISC
adrmkoizzi,897813,21,MISC
sugjmvpynf,892526,56,Books
oeudkrnfxm,813987,31,MISC
jcvgtipqyt,866357,21,Books
vblgzirizt,863181,23,MISC
qvcgwdxxkp,834557,24,MISC
dygffenziu,898633,69,Movies
qmxllqcfet,849914,42,MISC
syhbmthhqv,809926,6,Groceries
htspkfhryh,837370,82,Groceries
gedvsazyvj,827545,41,Groceries
zenisbqmta,868277,60,Movies
mlerdudofp,837783,95,MISC
uykaytfsnd,871079,82,Computer
etylatsrbv,858838,39,Movies
bfiqiekurx,818553,1,Books
vmeregfwxe,802793,20,Music
dhwdlwuqgs,872837,94,Groceries
wkjnzfdpta,810184,82,Books
kvfwyvsyrm,831395,70,Groceries
fyjlrpptmx,837952,83,MISC
amaozidzde,836123,47,Music
ffunmeydsw,878894,10,Computer
zzrnleomme,894151,5,Movies
sxcfgeaklc,816725,34,Music
xooojmyiur,857576,85,Books
hyxkkwzqou,838663,46,Computer
dtdfzlphff,893862,51,MISC
kyekdydllj,875564,75,Music
roepmuajdk,870387,51,Groceries
twayhvhfyi,814178,29,Books
kllugfmgxr,822263,70,Music
quxugigaig,840781,93,Music
ksmpfifkhp,824061,28,Computer
iyxhpjipjs,852845,47,Groceries
mkmxsqukae,873175,2,MISC
xbyoriaebm,840954,29,Music
jjmjiqnrst,835934,47,Books
lmihwvrpph,877037,15,MISC
jooelwxyow,874592,49,MISC
rtzxpwozus,890475,34,MISC
doatrxrvse,891888,87,Movies
dorzlevugc,849777,21,Books
gzqsmssrvb,823790,29,Books
wnwhrewche,884249,44,Computer
garwihnfey,828001,30,Groceries
jrwocosxcr,865558,48,Groceries
brqjkparde,873342,23,MISC
bzwkzislku,878294,78,Computer
wffxvksbcr,875129,4,Books
dgdclmmqlu,855139,9,Books
reuvkpfblo,844046,68,Groceries
xuwiksiehg,881913,25,Groceries
kdnvhdadww,800070,24,MISC
napobepxib,867695,41,Groceries
pnyyvgxdof,849644,31,Movies
mbuupsvuhq,888123,75,MISC
kshrdbyosd,869901,82,MISC
lfabrbducc,895639,72,Movies
luaguldqpo,876312,98,Movies
orwgcrrmja,820587,28,Computer
csmumuzswe,855352,98,Computer
ctoaviyhdm,875586,12,Groceries
qonpajstsg,859716,83,Groceries
mvpipprtxt,823386,17,Books
ydkutursvm,897319,22,Computer
jpafkbrwps,862480,76,MISC
weovsyywyc,839381,50,Groceries
tonxnhzpfc,867480,33,Music
ffpzykpcpf,813312,79,Music
irijgfcexm,806570,58,Books
kkyrnyulqd,832309,83,Groceries
ehannrkzts,803840,87,Groceries
lzmirxifbs,878798,64,Computer
dlwwndpmpu,814999,58,Movies
ewhqkueiee,805055,41,Music
hxymkwzalg,868831,58,Movies
qybkltvdph,808974,65,Music
wpboqayfio,858763,35,Movies
lxfyirpwpw,880413,90,Books
bfevnanodk,803871,2,Computer
zbljllvqzg,867707,46,MISC
svtxcxvdba,816200,55,Music
embhsihvnn,878266,30,Movies
rchgbvkqun,814168,21,Computer
vhrdpibmsw,887827,80,Music
evmlcdtocj,801190,35,Movies
sfyrqaaoib,811629,56,MISC
kgesmzpkal,856691,55,Movies
xgruethifw,818607,67,Computer
djcbepviuw,809549,90,Movies
zxmeyavlxs,873755,72,Movies
bvfwiqgoyh,861167,97,Groceries
cizbtnmgeq,838715,13,Groceries
bxfoyuabdg,850449,51,Computer
mfpfmusrbj,811219,43,Music
nmpgbbkpwg,869460,46,Groceries
ygadjoryoy,867588,30,Books
grwwxqzlkw,805940,24,MISC
nvravaxwye,818147,36,Computer
yyjpltvsmr,820711,21,Computer
rlpyobxzrn,805473,40,MISC
gpquqsdyqs,849962,59,Music
lwqdaclxes,892334,19,Groceries
mryziudupv,865827,94,Groceries
nqhxgyvorg,810272,87,MISC
lnksnzorpe,801960,77,Groceries
biujeawqcg,862226,31,Computer
avfdzzuywc,892841,17,Groceries
pzolroaacv,846787,6,Groceries
sephxzxvkd,858130,58,Groceries
qoidpavgeb,854060,42,MISC
swmuxhqgoc,805271,22,Movies
gqzhcuelpb,803796,78,Music
gnljkyqmir,824720,35,Music
vqokvgvuxe,855863,28,Computer
gkikwtwmkk,845601,65,Books
mzhuabphzp,874170,56,MISC
ejodqoryui,829097,4,Groceries
xdejuhioyd,889830,12,Movies
otahwzgsde,894959,41,Computer
sffnkjkome,818494,71,Movies
rfxasbtqez,890202,89,Music
hckwsqxhgo,822427,27,Movies
xbyxhzzcyh,815129,49,Movies
yqakmnaxab,844347,27,Music
ipxfdllhbu,890748,38,Music
xxocpnlwue,832543,1,Music
rnpnpppmbm,852678,37,Books
zukctjivqx,880748,6,Movies
qitguewiil,858493,39,Groceries
lzqiuldthh,832688,37,Computer
uuiyfshfuw,849033,8,Music
cmsdurkrdc,883187,71,Movies
ytqbveljvj,858558,66,MISC
eitsbyvogs,812947,31,MISC
ckdccnkblt,839087,89,Computer
lylhpcsaty,882619,81,Music
toyobxwjwy,820330,58,MISC
rzfqxvtfvp,848395,35,Movies
hkoslcyfgb,814698,47,MISC
fpnxetrepf,807736,36,Books
cydwwtzjve,812483,7,Books
fofqdgpbdc,880366,28,Music
hqycqbedxf,865428,5,Movies
mxijgwfugz,818608,96,Groceries
gzxyukzuls,895167,84,Groceries
sjqrrylvjn,835704,44,MISC
btwphooxsp,870116,12,Computer
wpemkrjbuj,857644,51,Computer
ibwublyhyk,847108,31,Computer
jffvcpnwlk,876588,59,Music
ccydsyguhn,818305,82,Books
tlnrbajetf,872344,16,Computer
jnlmnkbrna,806443,20,Books
bebiywlyjv,818115,32,Groceries
xpbaemkqyt,851539,64,Computer
fvhklwgaay,848838,67,Movies
cfzbsueedy,853376,85,Movies
edukwkgdtl,884545,34,Movies
fkoabzvmak,863663,33,Music
rpmfptukwf,883470,73,MISC
vbztlpbhsx,859179,55,Groceries
lcefrphpdu,867060,17,MISC
pwddrsoexf,897640,39,Movies
nnkfieelpo,885890,37,Movies
jjbgkouluv,822800,81,MISC
syzabdfvjr,804297,65,Computer
kovinnmcbs,801560,16,Books
dksqvqkcjr,876021,32,Groceries
zpplacdbve,889368,13,Books
edjmbvstuj,830287,84,Groceries
qwrnvydnta,840123,8,Music
feqkunnqxh,851614,92,Movies
rirlhyqiwf,875369,62,Computer
jpskdpgnzg,807780,42,Groceries
afceoztvew,866515,69,Books
zxcemlqgvv,874340,37,Music
lmbhtjsfxb,830447,96,Music
pifoqkklco,805034,23,Movies
ojgifcgaxx,812328,81,Computer
oheugeuozz,836749,16,Movies
tnkangtlcr,854551,67,Movies
llnbchziye,828454,21,Movies
hqlrcegbip,877519,28,Movies
rxhbdxrppi,857735,15,MISC
xcjtwannnt,801937,20,Groceries
brocvagdzn,893868,59,Groceries
wtwsvnvwxa,840601,66,MISC
kkzedwirdg,859269,3,Movies
crroubnbcj,852694,90,Music
huhunqirth,818937,22,Groceries
ydcyqcaqyy,888492,30,Groceries
jnpzpuwyql,893599,2,MISC
nlhmztlqof,832029,32,Books
oaerdrjhiq,806614,79,Groceries
eqxubzwdzm,850786,50,Books
jkescsjvih,833730,79,Movies
mwbrllsjar,876379,40,Computer
oirsjwbcbn,820437,3,Computer
lbrsjtcnrb,848934,44,Computer
mtpfrcbzxv,841981,70,Movies
dndpkvanzy,898361,84,Movies
nklacrbzuc,863050,68,Movies
puphgwmkoo,860833,78,Books
hhktkhkpsf,853049,38,Computer
gbnfjksrfm,899211,78,MISC
dotiuqetjy,884312,19,Groceries
clphvxpbpg,891768,82,Books
tgmgirytwx,857584,76,Books
joellukeqq,881845,73,Movies
bmbysfkzez,849179,86,Music
cjiwoucnqr,846147,88,Movies
xpikwqkfyb,887426,6,Music
cancelqbrh,805840,3,Books
dhqybmwtmh,836866,9,Computer
zjvfdbhhfl,838890,26,MISC
uviktspixc,885499,65,Books
eyccwfjfqg,878149,26,Movies
ukfwfqnomz,853969,15,Groceries
kwdkntnutx,889598,28,Music
cdjpmnnqxp,879666,73,Computer
rmcwnitcik,817642,7,Books
guobyhvpoy,867616,86,Music
jtjhdyknab,803207,50,Computer
pitzesbayd,843823,63,Movies
skcwrgclby,824664,97,Music
aiumvkalrj,861303,81,Music
abjwpqzjxg,816202,83,MISC
qvryiqrlrf,804360,10,Music
uebprxmnsn,891796,75,Groceries
ktwwlylffk,826507,50,MISC
azrivftpch,881296,57,Movies
vzckplhiab,800078,96,Groceries
gouejlicyf,849007,51,Books
xqdbhoxjth,804738,79,MISC
tnpdprwubw,887044,16,MISC
owknhtvcgi,825652,17,Movies
oxwsqpxeju,865370,25,Movies
xpnodmriai,813933,8,MISC
owmptystql,848161,79,Books
fdkxkpnwju,836707,98,Books
wzkygeocfc,817910,53,Books
mjzkyhwqku,802472,9,Groceries
qbfoxdgvyx,868019,58,Computer
tdmwlecpnz,814857,30,Computer
ypykzknhng,898940,58,Music
dzmahxkxrg,887256,75,Books
ycrlakfftk,880631,31,Groceries
dundhfgefj,836825,39,Movies
xjgqkycyvp,840093,3,MISC
jocjhlioot,842111,85,MISC
xvfojulxti,825250,93,Movies
iwcsjahxdd,841413,11,Books
bdmkiqopjk,881475,22,Computer
twhmaovbfp,838365,69,Groceries
ghlpaaduqk,893526,3,Books
jrbaqqkpva,889659,85,Computer
yrblltehvw,827898,76,Books
mctyhntove,866404,12,MISC
viectematz,819926,87,Computer
zlmogogjiv,805109,28,Movies
isglxdtmlj,867682,44,MISC
futjsezows,886318,8,Computer
bmnjiruave,885953,8,Music
gfugtayqqg,867288,91,Books
xdvacgbjce,807994,59,Music
rlklkwmjtq,847517,51,MISC
suupvphpgx,877368,10,Computer
bnekiyikzt,864142,86,Music
xyocduantz,840600,53,Music
uwtyguapkf,866881,93,Movies
piqstukkxo,868911,2,Movies
cskttkctln,851646,52,Groceries
pkbvgbvbrx,834228,91,Groceries
vbfempmwwq,865818,57,Computer
gywekfocwb,819350,61,Groceries
ocgbcgznhx,823877,43,Movies
iscicebceh,831288,25,Groceries
zvuzlaomiy,842158,45,Movies
exhujgxqvi,825733,85,Music
rzmqyvukcz,870864,33,Music
qzbjkznyhf,865857,97,Computer
prrboujrlu,880642,90,Computer
vnaroezfzj,809739,51,Music
xlliyxgdza,828675,5,Movies
ymlrkspfzj,890699,45,Books
bqtcwkhsoj,877659,27,MISC
wjfwpqcbnf,880597,3,Movies
rfxrxjljrd,819082,28,Movies
yblrifgjtv,854864,74,Music
wnaavfjutn,874879,44,Movies
lqehkhowxw,813891,24,Movies
fezroxuexf,804727,26,Books
fzyzkgdskn,811522,11,MISC
aymkzvmzps,894129,6,Groceries
pyvpjikrwt,849904,17,Computer
wgdghigpfk,875051,4,Groceries
jjmjiqnrst,835934,47,Books
kyekdydllj,875564,75,Music
lmihwvrpph,877037,15,MISC
rgsvvbypgv,834220,2,Computer
uuiyfshfuw,849033,8,Music
uebprxmnsn,891796,75,Groceries
rmcwnitcik,817642,7,Books
fofqdgpbdc,880366,28,Music
cancelqbrh,805840,3,Books
gqborpsgva,829544,33,MISC
zbljllvqzg,867707,46,MISC
sjqrrylvjn,835704,44,MISC
vzckplhiab,800078,96,Groceries
rsbkximvct,891370,16,Groceries
mxijgwfugz,818608,96,Groceries
vbztlpbhsx,859179,55,Groceries
khuabrrfsv,889956,47,Groceries
cdjpmnnqxp,879666,73,Computer
qmarvyfxpd,845205,33,Computer
jwqmpbxuhg,830255,62,Music
xqdbhoxjth,804738,79,MISC
kyekdydllj,875564,75,Music
ejkcdsyzym,849576,89,Movies
uuiyfshfuw,849033,8,Music
irgoyjenxb,860871,17,Groceries
wgdghigpfk,875051,4,Groceries
kvfwyvsyrm,831395,70,Groceries
zbljllvqzg,867707,46,MISC
gddotvyrmy,876823,19,Movies
uwtyguapkf,866881,93,Movies
lxfyirpwpw,880413,90,Books
rpmfptukwf,883470,73,MISC
njvyhswwwf,868283,85,Music
pjmdxfsuty,868929,8,Groceries
jcihoegkiu,803026,93,MISC
xyocduantz,840600,53,Music
kkzedwirdg,859269,3,Movies
dhqybmwtmh,836866,9,Computer
lmbhtjsfxb,830447,96,Music
dksqvqkcjr,876021,32,Groceries
eqxubzwdzm,850786,50,Books
bxekbvciuk,850827,27,Movies
ztxwyqgoux,886824,21,Music
gnsnjiskxl,820250,63,MISC
lrlsgvpbxs,865027,64,MISC
tbenkxnujj,818947,18,Music
wzkygeocfc,817910,53,Books
xycfertiwm,835662,37,Music
gwuttfplbd,867737,7,Books
piqstukkxo,868911,2,Movies
kyekdydllj,875564,75,Music
jcihoegkiu,803026,93,MISC
tbenkxnujj,818947,18,Music
xycfertiwm,835662,37,Music
vzckplhiab,800078,96,Groceries
rgsvvbypgv,834220,2,Computer
zbljllvqzg,867707,46,MISC
ejkcdsyzym,849576,89,Movies
cdjpmnnqxp,879666,73,Computer
xqdbhoxjth,804738,79,MISC
lmbhtjsfxb,830447,96,Music
rsbkximvct,891370,16,Groceries
vzckplhiab,800078,96,Groceries
xycfertiwm,835662,37,Music
piqstukkxo,868911,2,Movies
jwqmpbxuhg,830255,62,Music
vzckplhiab,800078,96,Groceries
fofqdgpbdc,880366,28,Music
rgsvvbypgv,834220,2,Computer
uebprxmnsn,891796,75,Groceries
uuiyfshfuw,849033,8,Music
piqstukkxo,868911,2,Movies
uuiyfshfuw,849033,8,Music
gwuttfplbd,867737,7,Books
jwqmpbxuhg,830255,62,Music
vzckplhiab,800078,96,Groceries
pjmdxfsuty,868929,8,Groceries
fofqdgpbdc,880366,28,Music
pjmdxfsuty,868929,8,Groceries
wzkygeocfc,817910,53,Books
